Absolute Value|abs(x)	x
GPIB Initialization|error out	require re-addressing (T)	disallow DMA (F)	assert REN with IFC (T)	error in	IST bit sense (T)	address string	system controller (T)
GPIB Misc|command string	error in	output string	status	error out
GPIB Read|address string	byte count	mode (0)	error in	timeout ms (488.2 global)	data	status	error out
GPIB Serial Poll|address string	error in	serial poll byte	status	error out
GPIB Status|address string	error in	status	GPIB error	byte count	error out
GPIB Trigger|error out	status	error in	address string
GPIB Wait|error out	status	timeout ms (488.2 global)	error in	wait state vector	address string
GPIB Write|address string	data	mode (0)	error in	timeout ms (488.2 global)	status	error out
Greater Or Equal To 0?|x >= 0?	x
Greater Or Equal?|x >= y?	y	x
Greater Than 0?|x > 0?	x
Greater?|x > y?	y	x
Handle Peek|value	error	num type (long)	offset	handle
Handle Poke|old value	handle	error	new value	offset	handle
Hex Digit?|hex?	char
Hexadecimal String To Number|number	offset past number	default (0uL)	offset	string
Hyperbolic Cosecant|csch(x)	x
Hyperbolic Cosine|cosh(x)	x
Hyperbolic Cotangent|coth(x)	x
Hyperbolic Secant|sech(x)	x
Hyperbolic Sine|sinh(x)	x
Hyperbolic Tangent|tanh(x)	x
Implies|x .implies. y?	y	x
In Range and Coerce|In Range?	coerced(x)	lower limit	x	upper limit
Include Fixed-Point Overflow Status|FXP with overflow included	overflow	FXP
Increment|x+1	x
Index String Array|output string	index	string array	string ("")
Insert Into Map|value unchanged?	key already included?	map out	value	key	map in
Insert Into Set|already included?	set out	element	set in
Insert Menu Items|error out	item tags out	menu reference out	after item	menu tag	error in (no error)	item tags	item names	menu reference
Integer to Fixed-Point Cast|integer	fixed-point type	fixed-point
Interpolate 1D Array|y value	fractional index or x	array of numbers or points
Inverse Cosecant|arccsc(x)	x
Inverse Cosine|arccos(x)	x
Inverse Cotangent|arccot(x)	x
Inverse Hyperbolic Cosecant|arccsch(x)	x
Inverse Hyperbolic Cosine|argcosh(x)	x
Inverse Hyperbolic Cotangent|arccoth(x)	x
Inverse Hyperbolic Secant|arcsech(x)	x
Inverse Hyperbolic Sine|argsinh(x)	x
Inverse Hyperbolic Tangent|argtanh(x)	x
Inverse Secant|arcsec(x)	x
Inverse Sine|arcsin(x)	x
Inverse Tangent|arctan(x)	x
Inverse Tangent (2 Input)|atan2(y,x)	x	y
IP To String|name	dot notation? (F)	net address
IrDA Close Connection|error out	connection ID out	error in (no error)	abort (F)	connection ID
IrDA Create Listener|error out	listener ID	error in (no error)	service name
IrDA Discover|error out	device list	number of devices	error in (no error)
IrDA Open Connection|error out	connection ID	error in (no error)	timeout ms (60000)	remote device id	service name
IrDA Read|error out	data out	connection ID out	mode (standard)	error in (no error)	timeout ms (25000)	bytes to read	connection ID
IrDA Wait On Listener|error out	remote device ID	remote LSAP-SEL	listener ID out	connection ID	error in (no error)	timeout ms (wait forever: -1)	resolve remote address (T)	listener ID in
IrDA Write|error out	bytes written	connection ID out	error in (no error)	timeout ms (25000)	data in	connection ID
IsDebuggingActive|debugging?
IVI Delete Session|IVI session
IVI New Session|IVI session	IVI session handle	resource name ("")	IVI session (for class)
Join Numbers|(hi.lo)	lo	hi
Leak Variant Value Reference|error out	variant value ref out	error in	variant value ref in
Less Or Equal To 0?|x <= 0?	x
Less Or Equal?|x <= y?	y	x
Less Than 0?|x < 0?	x
Less?|x < y?	y	x
Lexical Class|class number	char
List Directory|error out	folder names	file names	dup folder path	error in	datalog type	pattern	folder path
List Folder|error out	folder names	filenames	path out	datalog type	pattern	error in	path
Load Certificates Into Memory|error out	certificates	error in (no error)	format	path to certificates
Load Private Key Into Memory|error out	private key	error in (no error)	password	format	path to private key
Lock Range|error out	dup refnum	count	set lock (F)	error in	pos offset (0)	pos mode (0:2)	refnum
Logarithm Base 10|log(x)	x
Logarithm Base 2|log2(x)	x
Logarithm Base X|logx(y)	x	y
Logical Shift|x << y	x	y
Look In Map|value	key not found?	default value	key	map
Lookup Channel Probe|refnum to monitor	probe type specifier	force create?	probe VI refnum	type mismatched?
Lossy Enqueue Element|queue	element	error in (no error)	queue out	overflow element	overflow?	error out
Make TLS Configuration Immutable|error out	immutable TLS configuration	error in (no error)	TLS configuration
MakeAddr|error out	packed address	error in	secondary address	primary address
Mantissa & Exponent|number	mantissa	exponent
Match First String|index	output string	string array	string
Match Pattern|string	regular expression	offset (0)	before substring	match substring	after substring	offset past match
Match True/False String|selection	output string	false string	true string	string
Matrix Size|number of rows	number of columns	matrix
Max & Min|min(x,y)	max(x,y)	y	x
Move|error out	cancelled	new path	prompt (Choose or enter target path for move)	error in	overwrite (F)	target path (use dialog)	source path
Move (deprecated)|error out	new path	error in	target path	source path
Multiply|x*y	y	x
Multiply (with error terminals)|x*y	y	x	error out	error in (no error)
Multiply Array Elements|product	numeric array
Natural Logarithm|ln(x)	x
Natural Logarithm (Arg +1)|ln(x+1)	x
Negate|-x	x
New Data Value Reference|error out	data value reference	error in	data value
New Directory|error out	dup directory path	error in	permissions	group	directory path
New File|error out	refnum	datalog type	overwrite (F)	permissions	error in	deny mode (2)	group	file path
New TLS Configuration|error out	TLS configuration out	error in (no error)	load OS trusted CAs?
New VI|error out	vi refnum	type specifier VI Refnum (for type only)	password	not connected	error in (no error)	vi type (standard vi)	template	application refnum
New VI Object|error out	object refnum	bounds	auto wire? (F)	path	vi object class	error in (no error)	position/next to	style	owner refnum
Not|.not. x?	x
Not A Number/Path/Refnum?|NaN/Path/Refnum?	number/path/refnum
Not And|.not. (x .and. y)?	y	x
Not Equal To 0?|x != 0?	x
Not Equal?|x != y?	y	x
Not Exclusive Or|.not. (x .xor. y)?	y	x
Not Or|.not. (x .or. y)?	y	x
Number of Cache Levels|# of cache levels
Number To Boolean Array|Boolean array	number
Number To Decimal String|decimal integer string	width (-)	number
Number To Engineering String|Engineering string	use system decimal point (T)	precision (6)	width (-)	number
Number To Exponential String|E-format string	use system decimal point (T)	precision (6)	width (-)	number
Number To Fractional String|F-format string	use system decimal point (T)	precision (6)	width (-)	number
Number To Hexadecimal String|hex integer string	width (-)	number
Number To Octal String|octal integer string	width (-)	number
Obtain Notifier|name (unnamed)	notification data type	create if not found? (T)	error in (no error)	notifier out	created new?	error out
Obtain Queue|name (unnamed)	element data type	create if not found? (T)	error in (no error)	max queue size (-1, unlimited)	queue out	created new?	error out
Octal Digit?|octal?	char
Octal String To Number|number	offset past number	default (0uL)	offset	string
Old VISA Open|error out	VISA resource name	timeout (0)	error in (no error)	access mode	resource name ("")	VISA resource name (for class)
One Button Dialog|true	button name ("OK")	message
Open Application Reference|error out	application reference	error in (no error)		port number or service name (3363)	machine name ("":  open local reference)
Open Device|err	device refnum	unit(0)	device name
Open Dynamic Bitfile Reference|Device address	Bitfile path	Run When Loaded	Error In	Type	Refnum	Error Out
Open File|file path	open mode (0)	deny mode (2)	error in	datalog type	refnum	error out
Open MATLAB Session|release name	error in (no error)	session out	error out
Open Python Session|python version	python path	error in (no error)	session out	error out
Open VI Object Reference|error out	object refnum	vi object class	error in (no error)	name/order	owner refnum
Open VI Reference|error out	vi reference	password ("")	type specifier VI Refnum (for type only)	error in (no error)	options	vi path	application reference (local)
Open/Create/Replace Datalog|error out	cancelled	refnum out	record type	prompt	error in	access (0:read/write)	operation (0:open)	datalog path (use dialog)
Open/Create/Replace File|error out	cancelled	refnum out	disable buffering (F)	prompt	error in	access (0:read/write)	operation (0:open)	file path (use dialog)
Or|x .or. y?	y	x
Or Array Elements|logical OR	Boolean array
Package Matrix|matrix	array	matrix
PassControl|error out	status	error in	address	bus
Path to Array of Strings|path	relative	array of strings
Path To String|string	path
Path Type|type	path
Pick Line|output string	line index	multi-line string	string ("")
Polar To Complex|r * e^(i*theta)	theta	r
Polar To Re/Im|y	x	theta	r
Power Of 10|10^x	x
Power Of 2|2^x	x
Power Of X|x^y	x	y
PPoll|bus	error in	parallel poll byte	status	error out
PPollConfig|error out	status	error in	sense	dataline	address	bus
PPollUnconfig|error out	status	error in	address list	bus
Preallocated Read from Binary File|error out	num elements read	data out	refnum out	error in	byte order (0:big-endian, network order)	data in	refnum in
Preserve Run-Time Class|object out	error out	target object	object in	error in
Preview Queue Element|queue	timeout in ms (-1)	error in (no error)	queue out	element	timed out?	error out
Printable?|printable ASCII?	char
Quit LabVIEW|quit? (T)
Quotient & Remainder|floor(x/y)	x-y*floor(x/y)	y	x
Random Number (0-1)|number: 0 to 1
RcvRespMsg|error out	byte count	status	data string	error in	count	mode	bus
Re-accept TLS|error out	client certificate chain	TLS connection out	timeout ms	error in		CA certificates	TLS connection
Re/Im To Complex|x + iy	y	x
Re/Im To Polar|theta	r	y	x
Read Datalog|error out	record(s)	refnum out	error in	count (1)	refnum
Read Device|new offset	string	err	spc reset (F)	misc (-)	async (T)	pos offset (-)	pos mode (-)	count	device refnum
Read File|error out	offset	data	dup refnum	byte stream type	convert eol (F)	count	line mode (F)	error in	pos offset (0)	pos mode (0:2)	refnum
Read from Binary File|error out	cancelled	data	refnum out	data type	prompt (Open existing file)	error in	byte order (0:big-endian, network order)	count	file (use dialog)
Read from Text File|error out	cancelled	text	refnum out	prompt (Open existing file)	error in	count	file (use dialog)
Read Map Max & Min Keys|minimum	maximum	map
Read Set Max & Min|minimum	maximum	set
ReadStatus|error out	status	serial poll response	error in	address	bus
Receive|error out	byte count	status	data string	error in	count	mode	address	bus
ReceiveSetup|error out	status	error in	address	bus
Reciprocal|1/x	x
Refnum to Path|path	refnum
Refnum to Session|error out	Session	error in(no error)	Refnum
Register Session|error out	duplicate refnum	cleanup mode (default to class = 0)	error in (no error)	session	resource name	refnum
Release Notifier|notifier	force destroy? (F)	error in (no error)	notifier name	last notification	error out
Release Queue|queue	force destroy? (F)	error in (no error)	queue name	remaining elements	error out
Remove Fixed-Point Overflow Status|overflow?	FXP with overflow removed	FXP
Remove From Map|value	key not found?	map out	key	map in
Remove From Set|not included?	set out	element	set in
Replace Substring|replaced substring	result string	length	offset	substring	string
Request Deallocation|flag
ResetSys|error out	status	error in	address list	bus
Resize Matrix|resized matrix	number of columns	number of rows	matrix
Resource Index|Index	Resource
Reverse 1D Array|reversed array	array
Reverse String|reversed	string
Rotate|x rotated left by y	x	y
Rotate 1D Array|array (last n elements first)	array	n
Rotate Left With Carry|value	msb carry out	value	carry
Rotate Right With Carry|value	lsb carry out	value	carry
Rotate String|first char last	string
Round To Nearest|nearest integer value	number
Round Toward +Infinity|ceil(x): smallest int >= x	x
Round Toward -Infinity|floor(x): largest int <= x	x
RT FIFO Create|name (unnamed)	type	create if not found? (T)	error in (no error)	size (10)	datapoints in waveform (1)	elements in array (1)	r/w modes (polling,polling)	rt fifo	created new?	error out
RT FIFO Delete|rt fifo	force destroy? (F)	error in (no error)	error out
RT FIFO Read|rt fifo	element	timeout in ms (0)	error in (no error)	# elements	rt fifo out	element out	empty?	error out
